structure_id,x,y,z,reference_space_id
427,8070,4260,10470,9
820,10430,1860,6490,9
927,5000,2260,6580,9
964,6920,5380,9710,9
8,7400,3970,7670,9
544,6600,5670,8640,9
653,10770,5220,6110,9
425,10000,2200,8960,9
978,11610,6870,6860,9
66,8260,4440,8090,9
1048,11350,6150,6120,9
1046,7690,1070,7270,9
12,8620,4980,5810,9
830,7050,6190,6050,9
246,9010,4570,6860,9
812,9410,4500,5780,9
1099,7220,2770,7630,9
540,8140,4560,10600,9
123,10370,4730,7730,9
737,5920,5360,6270,9
818,6230,4870,7920,9
998,5400,6010,7990,9
753,7710,5690,6130,9
249,8390,2500,9640,9
549,7010,4020,6970,9
917,12690,5260,6260,9
749,8310,5150,6450,9
1096,6090,4430,6330,9
105,9980,6740,6740,9
665,3360,5890,7810,9
576073699,5410,6810,6100,9
1113,6160,4220,6230,9
421,9210,1590,9500,9
628,8130,2410,6790,9
101,10640,5730,8370,9
703,6710,5830,8830,9
51,7190,4080,6500,9
1077,6550,5280,6150,9
255,6040,3870,6760,9
312782566,7320,1200,7610,9
222,11960,6540,5720,9
153,11740,5070,7990,9
118,6810,6300,5770,9
706,7910,2600,6420,9
791,8400,2380,9820,9
607344854,8820,5120,5830,9
312782582,9110,2010,9750,9
656,3260,1620,7030,9
898,10610,4390,6110,9
806,6060,3230,10110,9
696,8450,2110,10210,9
759,8440,2300,9990,9
681,8750,4520,5900,9
900,3510,5260,6870,9
746,2760,3620,6490,9
778,8990,1330,8210,9
1072,8490,3540,8070,9
1086,6710,960,7620,9
741,7370,4650,6360,9
351,5360,5180,6610,9
325,8380,3430,7770,9
527696977,3490,3520,6680,9
549009223,9960,5870,7400,9
642,9900,6760,6360,9
182305709,6010,2130,8270,9
461,6880,1430,7390,9
795,9320,3130,6100,9
370,11640,5970,6650,9
451,7170,6610,8980,9
774,7990,850,6970,9
620,2880,3520,6150,9
484682512,5860,2530,8200,9
1060,8890,4280,5790,9
115,9590,3780,5960,9
95,4290,4670,8870,9
27,7730,3710,8270,9
1033,12380,4190,7630,9
390,5880,6740,6890,9
916,8220,2820,7620,9
950,4590,2940,9170,9
358,10640,4730,6440,9
1002,7930,2820,10220,9
557,7540,6670,6520,9
502,9100,3050,8580,9
560581559,6480,5240,5750,9
980,7660,6220,6120,9
218,7480,3110,7250,9
312782562,7270,1000,7650,9
214,8680,4350,6480,9
484682528,6520,5990,8110,9
856,6880,3900,6780,9
800,3750,4790,8280,9
368,8790,4190,10010,9
633,10200,2000,5970,9
337,5970,1230,7470,9
182305697,5760,1460,8640,9
393,9610,2410,8940,9
549009203,7940,3660,6270,9
662,4890,4410,9010,9
834,9100,1240,6440,9
606826655,8300,6210,5810,9
10703,8190,3110,8030,9
506,11340,4590,7190,9
484682508,9750,2300,8040,9
878,4390,2750,9480,9
477,5230,4840,7670,9
933,9660,4890,7480,9
559,6550,5740,8190,9
10671,7180,7290,5820,9
177,12380,5810,6030,9
744,11460,3690,5990,9
888,8170,4540,10390,9
847,7940,2890,10080,9
190,11070,7200,6070,9
533,8390,710,7400,9
534,10070,4860,7260,9
857,6400,4440,9740,9
52,8870,4900,10160,9
442,8230,280,6440,9
10,8990,2170,6760,9
181,6310,5120,5910,9
187,4680,4460,9380,9
336,8430,2660,5850,9
452,5140,5440,5740,9
1085,4330,2660,7040,9
493,4360,6310,7130,9
827,3470,3680,6080,9
606826659,8190,5880,5870,9
31,4610,2170,6090,9
20,9000,4890,10310,9
792,8970,5610,6400,9
1020,7190,3850,7090,9
985,4300,2360,7870,9
607344846,8690,5580,6040,9
850,10860,4000,7110,9
1120,6280,4550,5870,9
523,5260,6190,6260,9
842,9220,1470,6430,9
252,7570,2520,9790,9
873,5980,3190,10310,9
312782628,9570,2730,9840,9
312782644,9500,2770,9740,9
450,5250,1260,8370,9
920,10970,3000,6340,9
30,6010,6410,5760,9
591,9090,4450,5800,9
678,7540,2390,9950,9
707,3440,3750,5770,9
694,3660,5020,8550,9
879,8020,800,6580,9
924,8360,5570,7440,9
